ID,Area_Name,Year,Sub_Group_Name,K_A_Cases_Reported
1178,Meghalaya,2008,05. For Marriage,13
1179,Mizoram,2008,05. For Marriage,1
1180,Nagaland,2008,05. For Marriage,1
1181,Odisha,2008,05. For Marriage,335
1182,Puducherry,2008,05. For Marriage,8
1183,Punjab,2008,05. For Marriage,384
1184,Rajasthan,2008,05. For Marriage,1016
1185,Sikkim,2008,05. For Marriage,2
1186,Tamil Nadu,2008,05. For Marriage,887
1187,Tripura,2008,05. For Marriage,89
1188,Uttar Pradesh,2008,05. For Marriage,3106
1189,Uttarakhand,2008,05. For Marriage,152
1190,West Bengal,2008,05. For Marriage,835
1191,Andhra Pradesh,2009,05. For Marriage,722
1192,Arunachal Pradesh,2009,05. For Marriage,19
1193,Assam,2009,05. For Marriage,1595
1194,Bihar,2009,05. For Marriage,1863
1195,Chandigarh,2009,05. For Marriage,18
1196,Chhattisgarh,2009,05. For Marriage,58
1197,Dadra & Nagar Haveli,2009,05. For Marriage,9
1198,Delhi,2009,05. For Marriage,221
1199,Goa,2009,05. For Marriage,7
1200,Gujarat,2009,05. For Marriage,772
1201,Haryana,2009,05. For Marriage,513
1202,Himachal Pradesh,2009,05. For Marriage,113
1203,Jammu & Kashmir,2009,05. For Marriage,456
1204,Jharkhand,2009,05. For Marriage,364
1205,Karnataka,2009,05. For Marriage,109
1206,Kerala,2009,05. For Marriage,106
1207,Madhya Pradesh,2009,05. For Marriage,569
1208,Maharashtra,2009,05. For Marriage,666
1209,Manipur,2009,05. For Marriage,71
1210,Meghalaya,2009,05. For Marriage,11
1211,Mizoram,2009,05. For Marriage,1
1212,Nagaland,2009,05. For Marriage,1
1213,Odisha,2009,05. For Marriage,444
1214,Puducherry,2009,05. For Marriage,9
1215,Punjab,2009,05. For Marriage,437
1216,Rajasthan,2009,05. For Marriage,1333
1217,Sikkim,2009,05. For Marriage,2
1218,Tamil Nadu,2009,05. For Marriage,846
1219,Tripura,2009,05. For Marriage,92
1220,Uttar Pradesh,2009,05. For Marriage,3711
1221,Uttarakhand,2009,05. For Marriage,160
1222,West Bengal,2009,05. For Marriage,927
1223,Andaman & Nicobar Islands,2010,05. For Marriage,2
1224,Andhra Pradesh,2010,05. For Marriage,945
1225,Arunachal Pradesh,2010,05. For Marriage,40
1226,Assam,2010,05. For Marriage,2114
1227,Bihar,2010,05. For Marriage,2523
1228,Chandigarh,2010,05. For Marriage,27
1229,Chhattisgarh,2010,05. For Marriage,175
1230,Dadra & Nagar Haveli,2010,05. For Marriage,10
1231,Delhi,2010,05. For Marriage,175
1232,Goa,2010,05. For Marriage,4
1233,Gujarat,2010,05. For Marriage,893
1234,Haryana,2010,05. For Marriage,485
1235,Himachal Pradesh,2010,05. For Marriage,147
1236,Jammu & Kashmir,2010,05. For Marriage,528
1237,Jharkhand,2010,05. For Marriage,462
1238,Karnataka,2010,05. For Marriage,155
1239,Kerala,2010,05. For Marriage,114
1240,Madhya Pradesh,2010,05. For Marriage,673
1241,Maharashtra,2010,05. For Marriage,800
1242,Manipur,2010,05. For Marriage,64
1243,Meghalaya,2010,05. For Marriage,4
1244,Mizoram,2010,05. For Marriage,1
1245,Nagaland,2010,05. For Marriage,0
1246,Odisha,2010,05. For Marriage,417
1247,Puducherry,2010,05. For Marriage,10
1248,Punjab,2010,05. For Marriage,510
1249,Rajasthan,2010,05. For Marriage,1539
1250,Sikkim,2010,05. For Marriage,4
1251,Tamil Nadu,2010,05. For Marriage,1123
1252,Tripura,2010,05. For Marriage,74
1253,Uttar Pradesh,2010,05. For Marriage,3766
1254,Uttarakhand,2010,05. For Marriage,161
1255,West Bengal,2010,05. For Marriage,377
1256,Andhra Pradesh,2001,06. For Prostitution,36
1257,Arunachal Pradesh,2001,06. For Prostitution,0
1258,Assam,2001,06. For Prostitution,7
1259,Bihar,2001,06. For Prostitution,0
1260,Chandigarh,2001,06. For Prostitution,0
1261,Chhattisgarh,2001,06. For Prostitution,0
1262,Gujarat,2001,06. For Prostitution,0
1263,Haryana,2001,06. For Prostitution,3
1264,Himachal Pradesh,2001,06. For Prostitution,0
1265,Jharkhand,2001,06. For Prostitution,3
1266,Karnataka,2001,06. For Prostitution,3
1267,Madhya Pradesh,2001,06. For Prostitution,3
1268,Maharashtra,2001,06. For Prostitution,12
1269,Meghalaya,2001,06. For Prostitution,0
1270,Mizoram,2001,06. For Prostitution,0
1271,Nagaland,2001,06. For Prostitution,0
1272,Odisha,2001,06. For Prostitution,15
1273,Rajasthan,2001,06. For Prostitution,10
1274,Tamil Nadu,2001,06. For Prostitution,0
1275,Uttar Pradesh,2001,06. For Prostitution,11
1276,West Bengal,2001,06. For Prostitution,19
1277,Andhra Pradesh,2002,06. For Prostitution,61
1278,Assam,2002,06. For Prostitution,12
1279,Bihar,2002,06. For Prostitution,1
1280,Chhattisgarh,2002,06. For Prostitution,0
1281,Daman & Diu,2002,06. For Prostitution,0
1282,Delhi,2002,06. For Prostitution,1
1283,Gujarat,2002,06. For Prostitution,25
1284,Haryana,2002,06. For Prostitution,1
1285,Himachal Pradesh,2002,06. For Prostitution,1
1286,Jammu & Kashmir,2002,06. For Prostitution,0
1287,Jharkhand,2002,06. For Prostitution,4
1288,Karnataka,2002,06. For Prostitution,1
1289,Madhya Pradesh,2002,06. For Prostitution,7
1290,Maharashtra,2002,06. For Prostitution,16
1291,Meghalaya,2002,06. For Prostitution,1
1292,Nagaland,2002,06. For Prostitution,0
1293,Odisha,2002,06. For Prostitution,0
1294,Punjab,2002,06. For Prostitution,3
1295,Tamil Nadu,2002,06. For Prostitution,0
1296,Tripura,2002,06. For Prostitution,0
1297,Uttar Pradesh,2002,06. For Prostitution,35
1298,West Bengal,2002,06. For Prostitution,18
1299,Andhra Pradesh,2003,06. For Prostitution,43
1300,Arunachal Pradesh,2003,06. For Prostitution,0
1301,Assam,2003,06. For Prostitution,51
1302,Bihar,2003,06. For Prostitution,1
1303,Chandigarh,2003,06. For Prostitution,0
1304,Chhattisgarh,2003,06. For Prostitution,0
1305,Daman & Diu,2003,06. For Prostitution,0
1306,Delhi,2003,06. For Prostitution,1
1307,Gujarat,2003,06. For Prostitution,1
1308,Haryana,2003,06. For Prostitution,0
1309,Himachal Pradesh,2003,06. For Prostitution,1
1310,Jammu & Kashmir,2003,06. For Prostitution,0
1311,Jharkhand,2003,06. For Prostitution,0
1312,Karnataka,2003,06. For Prostitution,2
1313,Madhya Pradesh,2003,06. For Prostitution,16
1314,Maharashtra,2003,06. For Prostitution,14
1315,Meghalaya,2003,06. For Prostitution,0
1316,Nagaland,2003,06. For Prostitution,0
1317,Odisha,2003,06. For Prostitution,1
1318,Punjab,2003,06. For Prostitution,0
1319,Tamil Nadu,2003,06. For Prostitution,1
1320,Uttar Pradesh,2003,06. For Prostitution,18
1321,Uttarakhand,2003,06. For Prostitution,1
1322,West Bengal,2003,06. For Prostitution,21
1323,Andhra Pradesh,2004,06. For Prostitution,30
1324,Arunachal Pradesh,2004,06. For Prostitution,0
1325,Assam,2004,06. For Prostitution,40
1326,Bihar,2004,06. For Prostitution,2
1327,Chhattisgarh,2004,06. For Prostitution,41
1328,Delhi,2004,06. For Prostitution,12
1329,Gujarat,2004,06. For Prostitution,1
1330,Himachal Pradesh,2004,06. For Prostitution,0
1331,Jammu & Kashmir,2004,06. For Prostitution,5
1332,Karnataka,2004,06. For Prostitution,3
1333,Madhya Pradesh,2004,06. For Prostitution,0
1334,Maharashtra,2004,06. For Prostitution,36
1335,Manipur,2004,06. For Prostitution,0
1336,Meghalaya,2004,06. For Prostitution,2
1337,Mizoram,2004,06. For Prostitution,0
1338,Nagaland,2004,06. For Prostitution,0
1339,Odisha,2004,06. For Prostitution,0
1340,Punjab,2004,06. For Prostitution,1
1341,Rajasthan,2004,06. For Prostitution,1
1342,Sikkim,2004,06. For Prostitution,1
1343,Tamil Nadu,2004,06. For Prostitution,2
1344,Tripura,2004,06. For Prostitution,0
1345,Uttar Pradesh,2004,06. For Prostitution,28
1346,West Bengal,2004,06. For Prostitution,17
1347,Andhra Pradesh,2005,06. For Prostitution,14
1348,Arunachal Pradesh,2005,06. For Prostitution,0
1349,Assam,2005,06. For Prostitution,28
1350,Bihar,2005,06. For Prostitution,2
1351,Chandigarh,2005,06. For Prostitution,1
1352,Chhattisgarh,2005,06. For Prostitution,13
1353,Delhi,2005,06. For Prostitution,5
1354,Gujarat,2005,06. For Prostitution,1
1355,Haryana,2005,06. For Prostitution,0
1356,Himachal Pradesh,2005,06. For Prostitution,0
1357,Jammu & Kashmir,2005,06. For Prostitution,0
1358,Jharkhand,2005,06. For Prostitution,0
1359,Karnataka,2005,06. For Prostitution,3
1360,Kerala,2005,06. For Prostitution,1
1361,Madhya Pradesh,2005,06. For Prostitution,1
1362,Maharashtra,2005,06. For Prostitution,53
1363,Manipur,2005,06. For Prostitution,0
1364,Meghalaya,2005,06. For Prostitution,0
1365,Mizoram,2005,06. For Prostitution,0
1366,Nagaland,2005,06. For Prostitution,0
1367,Odisha,2005,06. For Prostitution,0
1368,Punjab,2005,06. For Prostitution,2
1369,Tripura,2005,06. For Prostitution,0
1370,Uttar Pradesh,2005,06. For Prostitution,0
1371,West Bengal,2005,06. For Prostitution,12
1372,Andhra Pradesh,2006,06. For Prostitution,53
1373,Arunachal Pradesh,2006,06. For Prostitution,0
1374,Assam,2006,06. For Prostitution,0
1375,Bihar,2006,06. For Prostitution,3
1376,Chhattisgarh,2006,06. For Prostitution,0
1377,Goa,2006,06. For Prostitution,1
1378,Gujarat,2006,06. For Prostitution,4
1379,Himachal Pradesh,2006,06. For Prostitution,2
1380,Jammu & Kashmir,2006,06. For Prostitution,1
1381,Jharkhand,2006,06. For Prostitution,3
1382,Karnataka,2006,06. For Prostitution,3
1383,Kerala,2006,06. For Prostitution,1
1384,Madhya Pradesh,2006,06. For Prostitution,0
1385,Maharashtra,2006,06. For Prostitution,57
1386,Manipur,2006,06. For Prostitution,0
1387,Meghalaya,2006,06. For Prostitution,1
1388,Mizoram,2006,06. For Prostitution,0
1389,Nagaland,2006,06. For Prostitution,0
1390,Odisha,2006,06. For Prostitution,0
1391,Rajasthan,2006,06. For Prostitution,4
1392,Sikkim,2006,06. For Prostitution,1
1393,Tamil Nadu,2006,06. For Prostitution,0
1394,Tripura,2006,06. For Prostitution,0
1395,Uttar Pradesh,2006,06. For Prostitution,0
1396,West Bengal,2006,06. For Prostitution,206
1397,Andhra Pradesh,2007,06. For Prostitution,34
1398,Arunachal Pradesh,2007,06. For Prostitution,4
1399,Assam,2007,06. For Prostitution,44
1400,Bihar,2007,06. For Prostitution,1
1401,Chhattisgarh,2007,06. For Prostitution,0
1402,Delhi,2007,06. For Prostitution,1
1403,Gujarat,2007,06. For Prostitution,0
1404,Haryana,2007,06. For Prostitution,0
1405,Himachal Pradesh,2007,06. For Prostitution,0
1406,Jammu & Kashmir,2007,06. For Prostitution,0
1407,Jharkhand,2007,06. For Prostitution,7
1408,Karnataka,2007,06. For Prostitution,0
1409,Kerala,2007,06. For Prostitution,2
1410,Madhya Pradesh,2007,06. For Prostitution,1
1411,Maharashtra,2007,06. For Prostitution,52
1412,Manipur,2007,06. For Prostitution,0
1413,Meghalaya,2007,06. For Prostitution,0
1414,Mizoram,2007,06. For Prostitution,0
1415,Nagaland,2007,06. For Prostitution,0
1416,Odisha,2007,06. For Prostitution,0
1417,Tamil Nadu,2007,06. For Prostitution,0
1418,Uttar Pradesh,2007,06. For Prostitution,1
1419,Uttarakhand,2007,06. For Prostitution,2
1420,West Bengal,2007,06. For Prostitution,164
1421,Andhra Pradesh,2008,06. For Prostitution,34
1422,Arunachal Pradesh,2008,06. For Prostitution,4
1423,Assam,2008,06. For Prostitution,84
1424,Bihar,2008,06. For Prostitution,2
1425,Chhattisgarh,2008,06. For Prostitution,7
1426,Delhi,2008,06. For Prostitution,0
1427,Gujarat,2008,06. For Prostitution,1
1428,Haryana,2008,06. For Prostitution,0
1429,Himachal Pradesh,2008,06. For Prostitution,0
1430,Jammu & Kashmir,2008,06. For Prostitution,0
1431,Jharkhand,2008,06. For Prostitution,21
1432,Karnataka,2008,06. For Prostitution,3
1433,Madhya Pradesh,2008,06. For Prostitution,4
1434,Maharashtra,2008,06. For Prostitution,74
1435,Manipur,2008,06. For Prostitution,0
1436,Meghalaya,2008,06. For Prostitution,1
1437,Mizoram,2008,06. For Prostitution,0
1438,Nagaland,2008,06. For Prostitution,0
1439,Odisha,2008,06. For Prostitution,2
1440,Puducherry,2008,06. For Prostitution,0
1441,Punjab,2008,06. For Prostitution,1
1442,Rajasthan,2008,06. For Prostitution,6
1443,Tamil Nadu,2008,06. For Prostitution,1
1444,West Bengal,2008,06. For Prostitution,14
1445,Andhra Pradesh,2009,06. For Prostitution,75
1446,Arunachal Pradesh,2009,06. For Prostitution,0
1447,Assam,2009,06. For Prostitution,95
1448,Bihar,2009,06. For Prostitution,2
1449,Chandigarh,2009,06. For Prostitution,0
1450,Chhattisgarh,2009,06. For Prostitution,17
1451,Delhi,2009,06. For Prostitution,11
1452,Gujarat,2009,06. For Prostitution,30
1453,Haryana,2009,06. For Prostitution,3
1454,Himachal Pradesh,2009,06. For Prostitution,0
1455,Jammu & Kashmir,2009,06. For Prostitution,1
1456,Jharkhand,2009,06. For Prostitution,17
1457,Karnataka,2009,06. For Prostitution,12
1458,Madhya Pradesh,2009,06. For Prostitution,0
1459,Maharashtra,2009,06. For Prostitution,51
1460,Manipur,2009,06. For Prostitution,0
1461,Meghalaya,2009,06. For Prostitution,0
1462,Nagaland,2009,06. For Prostitution,0
1463,Odisha,2009,06. For Prostitution,2
1464,Tamil Nadu,2009,06. For Prostitution,2
1465,West Bengal,2009,06. For Prostitution,200
1466,Andhra Pradesh,2010,06. For Prostitution,30
1467,Arunachal Pradesh,2010,06. For Prostitution,0
1468,Assam,2010,06. For Prostitution,126
1469,Bihar,2010,06. For Prostitution,6
1470,Chhattisgarh,2010,06. For Prostitution,0
1471,Gujarat,2010,06. For Prostitution,0
1472,Haryana,2010,06. For Prostitution,5
1473,Himachal Pradesh,2010,06. For Prostitution,0
1474,Jammu & Kashmir,2010,06. For Prostitution,0
1475,Jharkhand,2010,06. For Prostitution,0
1476,Karnataka,2010,06. For Prostitution,6
1477,Kerala,2010,06. For Prostitution,0
1478,Madhya Pradesh,2010,06. For Prostitution,0
1479,Maharashtra,2010,06. For Prostitution,55
1480,Manipur,2010,06. For Prostitution,0
1481,Meghalaya,2010,06. For Prostitution,1
1482,Mizoram,2010,06. For Prostitution,0
1483,Nagaland,2010,06. For Prostitution,0
1484,Odisha,2010,06. For Prostitution,1
1485,Tamil Nadu,2010,06. For Prostitution,0
1486,West Bengal,2010,06. For Prostitution,234
1487,Andhra Pradesh,2001,07. For Ransom,13
1488,Arunachal Pradesh,2001,07. For Ransom,4
1489,Assam,2001,07. For Ransom,62
1490,Bihar,2001,07. For Ransom,492
1491,Chandigarh,2001,07. For Ransom,0
1492,Chhattisgarh,2001,07. For Ransom,3
1493,Delhi,2001,07. For Ransom,41
1494,Gujarat,2001,07. For Ransom,30
1495,Haryana,2001,07. For Ransom,11
1496,Himachal Pradesh,2001,07. For Ransom,0
1497,Jharkhand,2001,07. For Ransom,23
1498,Karnataka,2001,07. For Ransom,20
1499,Kerala,2001,07. For Ransom,2
1500,Madhya Pradesh,2001,07. For Ransom,132
1501,Maharashtra,2001,07. For Ransom,36
1502,Meghalaya,2001,07. For Ransom,47
1503,Mizoram,2001,07. For Ransom,1
1504,Nagaland,2001,07. For Ransom,0
1505,Odisha,2001,07. For Ransom,1
1506,Punjab,2001,07. For Ransom,6
1507,Rajasthan,2001,07. For Ransom,10
1508,Tamil Nadu,2001,07. For Ransom,0
1509,Tripura,2001,07. For Ransom,80
1510,Uttar Pradesh,2001,07. For Ransom,323
1511,Uttarakhand,2001,07. For Ransom,5
1512,West Bengal,2001,07. For Ransom,24
1513,Andhra Pradesh,2002,07. For Ransom,8
1514,Assam,2002,07. For Ransom,71
1515,Bihar,2002,07. For Ransom,397
1516,Chhattisgarh,2002,07. For Ransom,0
1517,Daman & Diu,2002,07. For Ransom,0
1518,Delhi,2002,07. For Ransom,32
1519,Gujarat,2002,07. For Ransom,36
1520,Haryana,2002,07. For Ransom,10
1521,Himachal Pradesh,2002,07. For Ransom,0
1522,Jammu & Kashmir,2002,07. For Ransom,0
1523,Jharkhand,2002,07. For Ransom,27
1524,Karnataka,2002,07. For Ransom,8
1525,Kerala,2002,07. For Ransom,2
1526,Madhya Pradesh,2002,07. For Ransom,126
1527,Maharashtra,2002,07. For Ransom,24
1528,Meghalaya,2002,07. For Ransom,32
1529,Mizoram,2002,07. For Ransom,7
1530,Nagaland,2002,07. For Ransom,0
1531,Odisha,2002,07. For Ransom,4
1532,Puducherry,2002,07. For Ransom,2
1533,Punjab,2002,07. For Ransom,9
1534,Rajasthan,2002,07. For Ransom,12
1535,Sikkim,2002,07. For Ransom,3
1536,Tamil Nadu,2002,07. For Ransom,1
1537,Tripura,2002,07. For Ransom,52
1538,Uttar Pradesh,2002,07. For Ransom,165
1539,Uttarakhand,2002,07. For Ransom,10
1540,West Bengal,2002,07. For Ransom,22
1541,Andhra Pradesh,2003,07. For Ransom,7
1542,Arunachal Pradesh,2003,07. For Ransom,0
1543,Assam,2003,07. For Ransom,86
1544,Bihar,2003,07. For Ransom,374
1545,Chandigarh,2003,07. For Ransom,0
1546,Chhattisgarh,2003,07. For Ransom,2
1547,Daman & Diu,2003,07. For Ransom,0
1548,Delhi,2003,07. For Ransom,29
1549,Gujarat,2003,07. For Ransom,48
1550,Haryana,2003,07. For Ransom,8
1551,Himachal Pradesh,2003,07. For Ransom,0
1552,Jammu & Kashmir,2003,07. For Ransom,0
1553,Jharkhand,2003,07. For Ransom,72
1554,Karnataka,2003,07. For Ransom,17
1555,Madhya Pradesh,2003,07. For Ransom,136
1556,Maharashtra,2003,07. For Ransom,32
1557,Meghalaya,2003,07. For Ransom,30
1558,Mizoram,2003,07. For Ransom,6
1559,Nagaland,2003,07. For Ransom,0
1560,Odisha,2003,07. For Ransom,0
1561,Puducherry,2003,07. For Ransom,1
1562,Punjab,2003,07. For Ransom,13
1563,Rajasthan,2003,07. For Ransom,10
1564,Tamil Nadu,2003,07. For Ransom,6
1565,Tripura,2003,07. For Ransom,63
1566,Uttar Pradesh,2003,07. For Ransom,169
1567,Uttarakhand,2003,07. For Ransom,9
1568,West Bengal,2003,07. For Ransom,11
1569,Andhra Pradesh,2004,07. For Ransom,18
1570,Arunachal Pradesh,2004,07. For Ransom,0
1571,Assam,2004,07. For Ransom,59
1572,Bihar,2004,07. For Ransom,405
1573,Chandigarh,2004,07. For Ransom,1
1574,Chhattisgarh,2004,07. For Ransom,12
1575,Delhi,2004,07. For Ransom,28
1576,Gujarat,2004,07. For Ransom,36
1577,Haryana,2004,07. For Ransom,8
1578,Himachal Pradesh,2004,07. For Ransom,1
1579,Jammu & Kashmir,2004,07. For Ransom,0
1580,Jharkhand,2004,07. For Ransom,72
1581,Karnataka,2004,07. For Ransom,13
1582,Madhya Pradesh,2004,07. For Ransom,86
1583,Maharashtra,2004,07. For Ransom,25
1584,Manipur,2004,07. For Ransom,0
1585,Meghalaya,2004,07. For Ransom,14
1586,Mizoram,2004,07. For Ransom,0
1587,Nagaland,2004,07. For Ransom,0
1588,Odisha,2004,07. For Ransom,2
1589,Punjab,2004,07. For Ransom,5
1590,Rajasthan,2004,07. For Ransom,7
1591,Tamil Nadu,2004,07. For Ransom,5
1592,Tripura,2004,07. For Ransom,39
1593,Uttar Pradesh,2004,07. For Ransom,285
1594,Uttarakhand,2004,07. For Ransom,5
1595,West Bengal,2004,07. For Ransom,14
1596,Andhra Pradesh,2005,07. For Ransom,18
1597,Arunachal Pradesh,2005,07. For Ransom,2
1598,Assam,2005,07. For Ransom,34
1599,Bihar,2005,07. For Ransom,287
1600,Chandigarh,2005,07. For Ransom,2
1601,Chhattisgarh,2005,07. For Ransom,1
1602,Dadra & Nagar Haveli,2005,07. For Ransom,2
1603,Delhi,2005,07. For Ransom,32
1604,Gujarat,2005,07. For Ransom,31
1605,Haryana,2005,07. For Ransom,6
1606,Himachal Pradesh,2005,07. For Ransom,1
1607,Jammu & Kashmir,2005,07. For Ransom,0
1608,Jharkhand,2005,07. For Ransom,23
1609,Karnataka,2005,07. For Ransom,13
1610,Madhya Pradesh,2005,07. For Ransom,81
1611,Maharashtra,2005,07. For Ransom,36
1612,Manipur,2005,07. For Ransom,0
1613,Meghalaya,2005,07. For Ransom,13
1614,Mizoram,2005,07. For Ransom,0
1615,Nagaland,2005,07. For Ransom,9
1616,Odisha,2005,07. For Ransom,0
1617,Punjab,2005,07. For Ransom,6
1618,Rajasthan,2005,07. For Ransom,11
1619,Sikkim,2005,07. For Ransom,1
1620,Tamil Nadu,2005,07. For Ransom,1
1621,Tripura,2005,07. For Ransom,30
1622,Uttar Pradesh,2005,07. For Ransom,149
1623,Uttarakhand,2005,07. For Ransom,7
1624,West Bengal,2005,07. For Ransom,17
1625,Andhra Pradesh,2006,07. For Ransom,30
1626,Arunachal Pradesh,2006,07. For Ransom,0
1627,Assam,2006,07. For Ransom,51
1628,Bihar,2006,07. For Ransom,156
1629,Chandigarh,2006,07. For Ransom,1
1630,Chhattisgarh,2006,07. For Ransom,5
1631,Delhi,2006,07. For Ransom,32
1632,Gujarat,2006,07. For Ransom,19
1633,Haryana,2006,07. For Ransom,10
1634,Himachal Pradesh,2006,07. For Ransom,0
1635,Jammu & Kashmir,2006,07. For Ransom,1
1636,Jharkhand,2006,07. For Ransom,47
1637,Karnataka,2006,07. For Ransom,5
1638,Kerala,2006,07. For Ransom,1
1639,Madhya Pradesh,2006,07. For Ransom,42
1640,Maharashtra,2006,07. For Ransom,24
1641,Manipur,2006,07. For Ransom,0
1642,Meghalaya,2006,07. For Ransom,14
1643,Mizoram,2006,07. For Ransom,1
1644,Nagaland,2006,07. For Ransom,1
1645,Odisha,2006,07. For Ransom,2
1646,Puducherry,2006,07. For Ransom,1
1647,Punjab,2006,07. For Ransom,14
1648,Rajasthan,2006,07. For Ransom,8
1649,Sikkim,2006,07. For Ransom,1
1650,Tamil Nadu,2006,07. For Ransom,2
1651,Tripura,2006,07. For Ransom,17
1652,Uttar Pradesh,2006,07. For Ransom,115
1653,Uttarakhand,2006,07. For Ransom,7
1654,West Bengal,2006,07. For Ransom,23
1655,Andhra Pradesh,2007,07. For Ransom,21
1656,Arunachal Pradesh,2007,07. For Ransom,8
1657,Assam,2007,07. For Ransom,37
1658,Bihar,2007,07. For Ransom,81
1659,Chandigarh,2007,07. For Ransom,1
1660,Chhattisgarh,2007,07. For Ransom,4
1661,Delhi,2007,07. For Ransom,24
1662,Gujarat,2007,07. For Ransom,29
1663,Haryana,2007,07. For Ransom,11
1664,Himachal Pradesh,2007,07. For Ransom,0
1665,Jammu & Kashmir,2007,07. For Ransom,0
1666,Jharkhand,2007,07. For Ransom,86
1667,Karnataka,2007,07. For Ransom,14
1668,Kerala,2007,07. For Ransom,10
1669,Madhya Pradesh,2007,07. For Ransom,60
1670,Maharashtra,2007,07. For Ransom,29
1671,Manipur,2007,07. For Ransom,5
1672,Meghalaya,2007,07. For Ransom,2
1673,Mizoram,2007,07. For Ransom,0
1674,Nagaland,2007,07. For Ransom,2
1675,Odisha,2007,07. For Ransom,2
1676,Puducherry,2007,07. For Ransom,2
1677,Punjab,2007,07. For Ransom,10
1678,Rajasthan,2007,07. For Ransom,8
1679,Tamil Nadu,2007,07. For Ransom,3
1680,Tripura,2007,07. For Ransom,26
1681,Uttar Pradesh,2007,07. For Ransom,84
1682,Uttarakhand,2007,07. For Ransom,2
1683,West Bengal,2007,07. For Ransom,23
1684,Andhra Pradesh,2008,07. For Ransom,10
1685,Arunachal Pradesh,2008,07. For Ransom,12
1686,Assam,2008,07. For Ransom,51
1687,Bihar,2008,07. For Ransom,78
1688,Chandigarh,2008,07. For Ransom,1
1689,Chhattisgarh,2008,07. For Ransom,3
1690,Delhi,2008,07. For Ransom,24
1691,Goa,2008,07. For Ransom,1
1692,Gujarat,2008,07. For Ransom,26
1693,Haryana,2008,07. For Ransom,11
1694,Himachal Pradesh,2008,07. For Ransom,0
1695,Jammu & Kashmir,2008,07. For Ransom,7
1696,Jharkhand,2008,07. For Ransom,50
1697,Karnataka,2008,07. For Ransom,19
1698,Kerala,2008,07. For Ransom,3
1699,Lakshadweep,2008,07. For Ransom,1
1700,Madhya Pradesh,2008,07. For Ransom,38
1701,Maharashtra,2008,07. For Ransom,35
1702,Manipur,2008,07. For Ransom,19
1703,Meghalaya,2008,07. For Ransom,11
1704,Mizoram,2008,07. For Ransom,1
1705,Nagaland,2008,07. For Ransom,0
1706,Odisha,2008,07. For Ransom,3
1707,Puducherry,2008,07. For Ransom,0
1708,Punjab,2008,07. For Ransom,8
1709,Rajasthan,2008,07. For Ransom,6
1710,Tamil Nadu,2008,07. For Ransom,5
1711,Tripura,2008,07. For Ransom,16
1712,Uttar Pradesh,2008,07. For Ransom,69
1713,Uttarakhand,2008,07. For Ransom,2
1714,West Bengal,2008,07. For Ransom,236
1715,Andhra Pradesh,2009,07. For Ransom,60
1716,Arunachal Pradesh,2009,07. For Ransom,1
1717,Assam,2009,07. For Ransom,60
1718,Bihar,2009,07. For Ransom,80
1719,Chandigarh,2009,07. For Ransom,1
1720,Chhattisgarh,2009,07. For Ransom,2
1721,Delhi,2009,07. For Ransom,29
1722,Goa,2009,07. For Ransom,3
1723,Gujarat,2009,07. For Ransom,21
1724,Haryana,2009,07. For Ransom,8
1725,Himachal Pradesh,2009,07. For Ransom,0
1726,Jammu & Kashmir,2009,07. For Ransom,0
1727,Jharkhand,2009,07. For Ransom,46
1728,Karnataka,2009,07. For Ransom,28
1729,Kerala,2009,07. For Ransom,3
1730,Madhya Pradesh,2009,07. For Ransom,54
1731,Maharashtra,2009,07. For Ransom,37
1732,Manipur,2009,07. For Ransom,11
1733,Meghalaya,2009,07. For Ransom,6
1734,Mizoram,2009,07. For Ransom,1
1735,Nagaland,2009,07. For Ransom,16
1736,Odisha,2009,07. For Ransom,5
1737,Puducherry,2009,07. For Ransom,1
1738,Punjab,2009,07. For Ransom,6
1739,Rajasthan,2009,07. For Ransom,10
1740,Tamil Nadu,2009,07. For Ransom,5
1741,Uttar Pradesh,2009,07. For Ransom,62
1742,Uttarakhand,2009,07. For Ransom,1
1743,West Bengal,2009,07. For Ransom,54
1744,Andhra Pradesh,2010,07. For Ransom,5
1745,Arunachal Pradesh,2010,07. For Ransom,0
1746,Assam,2010,07. For Ransom,86
1747,Bihar,2010,07. For Ransom,72
1748,Chandigarh,2010,07. For Ransom,2
1749,Chhattisgarh,2010,07. For Ransom,1
1750,Dadra & Nagar Haveli,2010,07. For Ransom,1
1751,Delhi,2010,07. For Ransom,18
1752,Goa,2010,07. For Ransom,5
1753,Gujarat,2010,07. For Ransom,28
1754,Haryana,2010,07. For Ransom,17
1755,Himachal Pradesh,2010,07. For Ransom,1
1756,Jammu & Kashmir,2010,07. For Ransom,9
1757,Jharkhand,2010,07. For Ransom,147
1758,Karnataka,2010,07. For Ransom,21
1759,Kerala,2010,07. For Ransom,2
1760,Madhya Pradesh,2010,07. For Ransom,41
1761,Maharashtra,2010,07. For Ransom,26
1762,Manipur,2010,07. For Ransom,32
1763,Meghalaya,2010,07. For Ransom,28
1764,Mizoram,2010,07. For Ransom,2
1765,Nagaland,2010,07. For Ransom,26
1766,Odisha,2010,07. For Ransom,3
1767,Punjab,2010,07. For Ransom,10
1768,Rajasthan,2010,07. For Ransom,6
1769,Tamil Nadu,2010,07. For Ransom,8
1770,Tripura,2010,07. For Ransom,7
1771,Uttar Pradesh,2010,07. For Ransom,60
